strain	virus	country	region	year	date	Collection.Date	accession	GenomeName	Species	Strain	IsolationSource	IsolationCountry	Collection.Year	CollectionDate	GeographicLocation	HostCommonName	host	
GQ851608_ArB310/67	Orthoflavivirus nilense	Central African Republic	Africa	1967	1967-01-01	1967	GQ851608	West Nile virus ArB310/67	Orthoflavivirus nilense	ArB310/67		Central African Republic	1967	1967	Central African Republic			
KU978767_DAK AR MG 979	Orthoflavivirus nilense	Madagascar	Africa	1988	1988-02-12	1988-02-12	KU978767	West Nile virus strain DAK AR MG 979	Orthoflavivirus nilense	DAK AR MG 979	blood	Madagascar	1988	1988-02-12	Madagascar: Anjiro	Southern House Mosquito	Insect	
DQ176636_Madagascar-AnMg798	Orthoflavivirus nilense	Madagascar	Africa	1978	1978-01-01	1978	DQ176636	West Nile virus Madagascar-AnMg798	Orthoflavivirus nilense	Madagascar-AnMg798	parrot (Coracopsis vasa)	Madagascar	1978	1978	Madagascar			
AY701412_96-111	Orthoflavivirus nilense	Morocco	Africa	1996	1996-01-01	1996	AY701412	West Nile virus 96-111	Orthoflavivirus nilense	96-111	brain of horse with encephalitis	Morocco	1996	1996	Morocco	Horse	Nonhuman Mammal	
AY701413_04.05	Orthoflavivirus nilense	Morocco	Africa	2003	2003-01-01	2003	AY701413	West Nile virus 04.05	Orthoflavivirus nilense	4.05	brain of horse with encephalitis	Morocco	2003	2003	Morocco	Horse	Nonhuman Mammal	
MW383508_M6848-NA-2020	Orthoflavivirus nilense	Namibia	Africa	2020	2020-01-01	2020	MW383508	West Nile virus M6848-NA-2020	Orthoflavivirus nilense	M6848-NA-2020		Namibia	2020	2020	Namibia	Mosquito	Insect	
MW383507_M6646-NA-2020	Orthoflavivirus nilense	Namibia	Africa	2020	2020-01-01	2020	MW383507	West Nile virus M6646-NA-2020	Orthoflavivirus nilense	M6646-NA-2020		Namibia	2020	2020	Namibia	Mosquito	Insect	
GQ851607_IBAN7019	Orthoflavivirus nilense	Nigeria	Africa	1965	1965-01-01	1965	GQ851607	West Nile virus IBAN7019	Orthoflavivirus nilense	IBAN7019		Nigeria	1965	1965	Nigeria			
KY703854_ArD76986/1990/SN	Orthoflavivirus nilense	Senegal	Africa	1990	1990-01-01	1990	KY703854	West Nile virus ArD76986/1990/SN	Orthoflavivirus nilense	ArD76986/1990/SN		Senegal	1990	1990	Senegal	Mosquito	Insect	
KY703855_ArD96655/1993/SN	Orthoflavivirus nilense	Senegal	Africa	1993	1993-01-01	1993	KY703855	West Nile virus ArD96655/1993/SN	Orthoflavivirus nilense	ArD96655/1993/SN		Senegal	1993	1993	Senegal	Tick	Tick	
KY703856_ArD94343/1992/SN	Orthoflavivirus nilense	Senegal	Africa	1992	1992-01-01	1992	KY703856	West Nile virus ArD94343/1992/SN	Orthoflavivirus nilense	ArD94343/1992/SN		Senegal	1992	1992	Senegal	Mosquito	Insect	
GQ851606_ArD27875	Orthoflavivirus nilense	Senegal	Africa	1979	1979-01-01	1979	GQ851606	West Nile virus ArD27875	Orthoflavivirus nilense	ArD27875		Senegal	1979	1979	Senegal			
KM052152_349/77	Orthoflavivirus nilense	South Africa	Africa	1977	1977-01-01	1977	KM052152	West Nile virus 349/77	Orthoflavivirus nilense	349/77		South Africa	1977	1977	South Africa	Horse	Nonhuman Mammal	
EF429198_SA93/01	Orthoflavivirus nilense	South Africa	Africa	2001	2001-01-01	2001	EF429198	West Nile virus SA93/01	Orthoflavivirus nilense	SA93/01	patient with fever	 rash	 myalgia	 and encephalitis	South Africa	2001	2001	South Africa
EF429197_SPU116/89	Orthoflavivirus nilense	South Africa	Africa	1989	1989-01-01	1989	EF429197	West Nile virus SPU116/89	Orthoflavivirus nilense	SPU116/89	patient who died of necrotic hepatitis	South Africa	1989	1989	South Africa	Human	Human	
EF429199_SA381/00	Orthoflavivirus nilense	South Africa	Africa	2000	2000-01-01	2000	EF429199	West Nile virus SA381/00	Orthoflavivirus nilense	SA381/00	patient with fever	 rash	 myalgia	 and arthralgia	South Africa	2000	2000	South Africa
EF429200_H442	Orthoflavivirus nilense	South Africa	Africa	1958	1958-01-01	1958	EF429200	West Nile virus H442	Orthoflavivirus nilense	H442	patient with fever	 rash	 myalgia	 and arthralgia	South Africa	1958	1958	South Africa
KY523178_UG2274/Uganda/2009	Orthoflavivirus nilense	Uganda	Africa	2009	2009-06-01	2009-06	KY523178	West Nile virus UG2274/Uganda/2009	Orthoflavivirus nilense	UG2274/Uganda/2009	mosquito pool	Uganda	2009	2009-06	Uganda: Queen Elizabeth National Park	Mosquito	Insect	
LC318700_Zmq16m11	Orthoflavivirus nilense	Zambia	Africa	2016	2016-05-16	2016-05-16	LC318700	West Nile virus Zmq16m11	Orthoflavivirus nilense	Zmq16m11	Culex quinquefasciatus	Zambia	2016	2016-05-16	Zambia:Mongu district			
LC489409_Croc1102019ZM	Orthoflavivirus nilense	Zambia	Africa	2019	2019-01-01	2019	LC489409	West Nile virus Croc1102019ZM	Orthoflavivirus nilense	Croc1102019ZM		Zambia	2019	2019	Zambia			
KP780837_Sepperl	Orthoflavivirus nilense	Austria	Europe	2008	2008-08-29	2008-08-29	KP780837	West Nile virus Sepperl	Orthoflavivirus nilense	Sepperl		Austria	2008	2008-08-29	Austria			
KP780838_Mismo	Orthoflavivirus nilense	Austria	Europe	2009	2009-09-16	2009-09-16	KP780838	West Nile virus Mismo	Orthoflavivirus nilense	Mismo		Austria	2009	2009-09-16	Austria			
KP780839_Berliner	Orthoflavivirus nilense	Austria	Europe	2011	2011-03-14	2011-03-14	KP780839	West Nile virus Berliner	Orthoflavivirus nilense	Berliner		Austria	2011	2011-03-14	Austria			
KP780840_Tammy	Orthoflavivirus nilense	Austria	Europe	2014	2014-08-21	2014-08-21	KP780840	West Nile virus Tammy	Orthoflavivirus nilense	Tammy		Austria	2014	2014-08-21	Austria			
MF984337_Blood donor 1/Austria/2015 (BD1/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984337	West Nile virus Blood donor 1/Austria/2015 (BD1/15)	Orthoflavivirus nilense	Blood donor 1/Austria/2015 (BD1/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984338_Blood donor 2/Austria/2015 (BD2/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984338	West Nile virus Blood donor 2/Austria/2015 (BD2/15)	Orthoflavivirus nilense	Blood donor 2/Austria/2015 (BD2/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984339_Blood donor 3/Austria/2015 (BD3/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984339	West Nile virus Blood donor 3/Austria/2015 (BD3/15)	Orthoflavivirus nilense	Blood donor 3/Austria/2015 (BD3/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984340_Blood donor 4/Austria/2015 (BD4/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984340	West Nile virus Blood donor 4/Austria/2015 (BD4/15)	Orthoflavivirus nilense	Blood donor 4/Austria/2015 (BD4/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984341_Blood donor Blood donor 5/Austria/2015 (BD5/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984341	West Nile virus Blood donor Blood donor 5/Austria/2015 (BD5/15)	Orthoflavivirus nilense	Blood donor Blood donor 5/Austria/2015 (BD5/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984342_Patient 1/Austria/2015 (Pa1/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984342	West Nile virus Patient 1/Austria/2015 (Pa1/15)	Orthoflavivirus nilense	Patient 1/Austria/2015 (Pa1/15)	plasma	Austria	2015	2015	Austria	Human	Human	
MF984343_Patient 2/Austria/2015 (Pa2/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984343	West Nile virus Patient 2/Austria/2015 (Pa2/15)	Orthoflavivirus nilense	Patient 2/Austria/2015 (Pa2/15)	urine	Austria	2015	2015	Austria	Human	Human	
MF984344_Goshawk/Austria/2015 (Bi1/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984344	West Nile virus Goshawk/Austria/2015 (Bi1/15)	Orthoflavivirus nilense	Goshawk/Austria/2015 (Bi1/15)	brain	Austria	2015	2015	Austria	Goshawk	Avian	
MF984345_Falcon/Austria/2015 (Bi2/15)	Orthoflavivirus nilense	Austria	Europe	2015	2015-01-01	2015	MF984345	West Nile virus Falcon/Austria/2015 (Bi2/15)	Orthoflavivirus nilense	Falcon/Austria/2015 (Bi2/15)	brain	Austria	2015	2015	Austria	Falcon	Avian	
MF984346_Blood donor 1/Austria/2016 (BD1/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984346	West Nile virus Blood donor 1/Austria/2016 (BD1/16)	Orthoflavivirus nilense	Blood donor 1/Austria/2016 (BD1/16)	plasma	Austria	2016	2016	Austria	Human	Human	
MF984347_Blood donor 2/Austria/2016 (BD2/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984347	West Nile virus Blood donor 2/Austria/2016 (BD2/16)	Orthoflavivirus nilense	Blood donor 2/Austria/2016 (BD2/16)	plasma	Austria	2016	2016	Austria	Human	Human	
MF984348_Blood donor 3/Austria/2016 (BD3/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984348	West Nile virus Blood donor 3/Austria/2016 (BD3/16)	Orthoflavivirus nilense	Blood donor 3/Austria/2016 (BD3/16)	plasma	Austria	2016	2016	Austria	Human	Human	
MF984349_Horse 1/Austria/2016 (Ho1/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984349	West Nile virus Horse 1/Austria/2016 (Ho1/16)	Orthoflavivirus nilense	Horse 1/Austria/2016 (Ho1/16)	plasma	Austria	2016	2016	Austria	Horse	Nonhuman Mammal	
MF984350_Horse 2/Austria/2016 (Ho2/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984350	West Nile virus Horse 2/Austria/2016 (Ho2/16)	Orthoflavivirus nilense	Horse 2/Austria/2016 (Ho2/16)	brain	Austria	2016	2016	Austria	Horse	Nonhuman Mammal	
MF984351_Cx. pipiens 1/Austria/2016 (Cx1/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984351	West Nile virus Cx. pipiens 1/Austria/2016 (Cx1/16)	Orthoflavivirus nilense	Cx. pipiens 1/Austria/2016 (Cx1/16)	mosquito suspension	Austria	2016	2016	Austria	Northern House Mosquito	Insect	
MF984352_Cx. pipiens 2/Austria/2016 (Cx2/16)	Orthoflavivirus nilense	Austria	Europe	2016	2016-01-01	2016	MF984352	West Nile virus Cx. pipiens 2/Austria/2016 (Cx2/16)	Orthoflavivirus nilense	Cx. pipiens 2/Austria/2016 (Cx2/16)	mosquito suspension	Austria	2016	2016	Austria	Northern House Mosquito	Insect	
KM659876_BD-AUT	Orthoflavivirus nilense	Austria	Europe	2014	2014-01-01	2014	KM659876	West Nile virus BD-AUT	Orthoflavivirus nilense	BD-AUT	human blood donor serum	Austria	2014	2014	Austria	Human	Human	
KF179640_Austria/2008_gh	Orthoflavivirus nilense	Austria	Europe	2008	2008-01-01	2008	KF179640	West Nile virus Austria/2008_gh	Orthoflavivirus nilense	Austria/2008_gh		Austria	2008	2008	Austria	Goshawk	Avian	
KJ831223_Uu-LN-AT-2013	Orthoflavivirus nilense	Austria	Europe	2013	2013-08-01	2013-08	KJ831223	West Nile virus Uu-LN-AT-2013	Orthoflavivirus nilense	Uu-LN-AT-2013	mosquito pool	Austria	2013	2013-08	Austria: Lake Neusiedl	Mosquito	Insect	
KP109691_blood donor/Vienna/2014	Orthoflavivirus nilense	Austria	Europe	2014	2014-01-01	2014	KP109691	West Nile virus blood donor/Vienna/2014	Orthoflavivirus nilense	blood donor/Vienna/2014		Austria	2014	2014	Austria	Human	Human	
KP109692_Cx. pipiens/Vienna/2014	Orthoflavivirus nilense	Austria	Europe	2014	2014-01-01	2014	KP109692	West Nile virus Cx. pipiens/Vienna/2014	Orthoflavivirus nilense	Cx. pipiens/Vienna/2014		Austria	2014	2014	Austria	Northern House Mosquito	Insect	
JX041628_LEIV-72Az	Orthoflavivirus nilense	Azerbaijan	Europe	1970	1970-01-01	1970	JX041628	West Nile virus LEIV-72Az	Orthoflavivirus nilense	LEIV-72Az		Azerbaijan	1970	1970	Azerbaijan	Tick	Tick	
JX041629_LEIV-1628Az	Orthoflavivirus nilense	Azerbaijan	Europe	1967	1967-01-01	1967	JX041629	West Nile virus LEIV-1628Az	Orthoflavivirus nilense	LEIV-1628Az		Azerbaijan	1967	1967	Azerbaijan	Bird	Avian	
JX041630_LEIV-1640Az	Orthoflavivirus nilense	Azerbaijan	Europe	1967	1967-01-01	1967	JX041630	West Nile virus LEIV-1640Az	Orthoflavivirus nilense	LEIV-1640Az		Azerbaijan	1967	1967	Azerbaijan	Bird	Avian	
KR107956_Is98	Orthoflavivirus nilense	Belgium	Europe	2014	2014-01-01	2014	KR107956	West Nile virus Is98	Orthoflavivirus nilense	Is98		Belgium	2014	2014	Belgium	Lab host	Lab	
MH021189_WNV/Belgium/2017/Antwerpen	Orthoflavivirus nilense	Belgium	Europe	2017	2017-10-01	2017-10	MH021189	West Nile virus WNV/Belgium/2017/Antwerpen	Orthoflavivirus nilense	WNV/Belgium/2017/Antwerpen		Belgium	2017	2017-10	Belgium	Human	Human	
KU206781_Bulgaria/2015/Sofia	Orthoflavivirus nilense	Bulgaria	Europe	2015	2015-08-27	2015-08-27	KU206781	West Nile virus Bulgaria/2015/Sofia	Orthoflavivirus nilense	Bulgaria/2015/Sofia		Bulgaria	2015	2015-08-27	Bulgaria	Human	Human	
MT341472_Pleven_10m-Bulgaria-2018	Orthoflavivirus nilense	Bulgaria	Europe	2018	2018-08-01	2018-08	MT341472	West Nile virus Pleven_10m-Bulgaria-2018	Orthoflavivirus nilense	Pleven_10m-Bulgaria-2018		Bulgaria	2018	2018-08	Bulgaria	Mosquito	Insect	
MF797870_WNV_Cy2016	Orthoflavivirus nilense	Cyprus	Europe	2016	2016-07-01	2016-07	MF797870	West Nile virus WNV_Cy2016	Orthoflavivirus nilense	WNV_Cy2016	urine	Cyprus	2016	2016-07	Cyprus	Human	Human	
KM203863_Cz 13-502	Orthoflavivirus nilense	Czech Republic	Europe	2013	2013-08-08	2013-08-08	KM203863	West Nile virus Cz 13-502	Orthoflavivirus nilense	Cz 13-502		Czech Republic	2013	2013-08-08	Czech Republic: South Moravia	 Mlynsky fishpond at Lednice	Mosquito	Insect
KM203860_Cz 13-104	Orthoflavivirus nilense	Czech Republic	Europe	2013	2013-08-08	2013-08-08	KM203860	West Nile virus Cz 13-104	Orthoflavivirus nilense	Cz 13-104		Czech Republic	2013	2013-08-08	Czech Republic: South Moravia	 Novy fishpond at Mikulov	Mosquito	Insect
KM203861_Cz 13-329	Orthoflavivirus nilense	Czech Republic	Europe	2013	2013-08-08	2013-08-08	KM203861	West Nile virus Cz 13-329	Orthoflavivirus nilense	Cz 13-329		Czech Republic	2013	2013-08-08	Czech Republic: South Moravia	 Nesyt fishpond at Mikulov	Mosquito	Insect
KM203862_Cz 13-479	Orthoflavivirus nilense	Czech Republic	Europe	2013	2013-08-08	2013-08-08	KM203862	West Nile virus Cz 13-479	Orthoflavivirus nilense	Cz 13-479		Czech Republic	2013	2013-08-08	Czech Republic: South Moravia	 Mlynsky fishpond at Lednice	Mosquito	Insect
MT863559_Akela/France/2015	Orthoflavivirus nilense	France	Europe	2015	2015-10-03	2015-10-03	MT863559	West Nile virus Akela/France/2015	Orthoflavivirus nilense	Akela/France/2015		France	2015	2015-10-03	France	Horse	Nonhuman Mammal	
MT863560_6125/France/2018	Orthoflavivirus nilense	France	Europe	2018	2018-09-08	2018-09-08	MT863560	West Nile virus 6125/France/2018	Orthoflavivirus nilense	6125/France/2018		France	2018	2018-09-08	France	Common Buzzard	Avian	
MT863561_7025/France/2018	Orthoflavivirus nilense	France	Europe	2018	2018-10-06	2018-10-06	MT863561	West Nile virus 7025/France/2018	Orthoflavivirus nilense	7025/France/2018		France	2018	2018-10-06	France	Goshawk	Avian	
MN794935_BNI-10/19	Orthoflavivirus nilense	Germany	Europe	2019	2019-01-01	2019	MN794935	West Nile virus BNI-10/19	Orthoflavivirus nilense	BNI-10/19		Germany	2019	2019	Germany	Human	Human	
MN794936_Berlin748	Orthoflavivirus nilense	Germany	Europe	2019	2019-01-01	2019	MN794936	West Nile virus Berlin748	Orthoflavivirus nilense	Berlin748		Germany	2019	2019	Germany	Human	Human	
MN794937_BNI-2635	Orthoflavivirus nilense	Germany	Europe	2019	2019-01-01	2019	MN794937	West Nile virus BNI-2635	Orthoflavivirus nilense	BNI-2635		Germany	2019	2019	Germany	Blackbird	Avian	
MN794938_BNI-2615	Orthoflavivirus nilense	Germany	Europe	2019	2019-01-01	2019	MN794938	West Nile virus BNI-2615	Orthoflavivirus nilense	BNI-2615		Germany	2019	2019	Germany	Sparrow	Avian	
MN794939_BNI-2432	Orthoflavivirus nilense	Germany	Europe	2019	2019-01-01	2019	MN794939	West Nile virus BNI-2432	Orthoflavivirus nilense	BNI-2432		Germany	2019	2019	Germany			
LR743421_ED-I-139_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-30	2019-08-30	LR743421	West Nile virus ED-I-139_19	Orthoflavivirus nilense	ED-I-139_19		Germany	2019	2019-08-30	Germany			
LR743422_ED-I-155_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-26	2019-08-26	LR743422	West Nile virus ED-I-155_19	Orthoflavivirus nilense	ED-I-155_19		Germany	2019	2019-08-26	Germany	Goshawk	Avian	
LR743423_ED-I-156_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-31	2019-08-31	LR743423	West Nile virus ED-I-156_19	Orthoflavivirus nilense	ED-I-156_19		Germany	2019	2019-08-31	Germany	Goshawk	Avian	
LR743424_ED-I-85_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-04	2019-08-04	LR743424	West Nile virus ED-I-85_19	Orthoflavivirus nilense	ED-I-85_19		Germany	2019	2019-08-04	Germany	Snowy Owl	Avian	
LR743425_ED-I-62_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-07-03	2019-07-03	LR743425	West Nile virus ED-I-62_19	Orthoflavivirus nilense	ED-I-62_19		Germany	2019	2019-07-03	Germany	Snowy Owl	Avian	
LR743426_ED-I-157_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-31	2019-08-31	LR743426	West Nile virus ED-I-157_19	Orthoflavivirus nilense	ED-I-157_19		Germany	2019	2019-08-31	Germany	Snowy Owl	Avian	
LR743427_ED-I-148_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-07-14	2019-07-14	LR743427	West Nile virus ED-I-148_19	Orthoflavivirus nilense	ED-I-148_19		Germany	2019	2019-07-14	Germany	Goshawk	Avian	
LR743428_ED-I-118_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-18	2019-08-18	LR743428	West Nile virus ED-I-118_19	Orthoflavivirus nilense	ED-I-118_19		Germany	2019	2019-08-18	Germany	Snowy Owl	Avian	
LR743429_ED-I-142_18	Orthoflavivirus nilense	Germany	Europe	2018	2018-09-19	2018-09-19	LR743429	West Nile virus ED-I-142_18	Orthoflavivirus nilense	ED-I-142_18		Germany	2018	2018-09-19	Germany			
LR743430_ED-I-89_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-08	2019-08-08	LR743430	West Nile virus ED-I-89_19	Orthoflavivirus nilense	ED-I-89_19		Germany	2019	2019-08-08	Germany			
LR743431_ED-I-177_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-04	2019-09-04	LR743431	West Nile virus ED-I-177_19	Orthoflavivirus nilense	ED-I-177_19		Germany	2019	2019-09-04	Germany			
LR743432_ED-I-158_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-30	2019-08-30	LR743432	West Nile virus ED-I-158_19	Orthoflavivirus nilense	ED-I-158_19		Germany	2019	2019-08-30	Germany			
LR743433_ED-I-82_18	Orthoflavivirus nilense	Germany	Europe	2018	2018-09-01	2018-09-01	LR743433	West Nile virus ED-I-82_18	Orthoflavivirus nilense	ED-I-82_18		Germany	2018	2018-09-01	Germany	Goshawk	Avian	
LR743434_ED-I-114_18	Orthoflavivirus nilense	Germany	Europe	2018	2018-09-03	2018-09-03	LR743434	West Nile virus ED-I-114_18	Orthoflavivirus nilense	ED-I-114_18		Germany	2018	2018-09-03	Germany			
LR743435_ED-I-153_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-20	2019-08-20	LR743435	West Nile virus ED-I-153_19	Orthoflavivirus nilense	ED-I-153_19		Germany	2019	2019-08-20	Germany	Goshawk	Avian	
LR743436_ED-I-89_18	Orthoflavivirus nilense	Germany	Europe	2018	2018-09-10	2018-09-10	LR743436	West Nile virus ED-I-89_18	Orthoflavivirus nilense	ED-I-89_18		Germany	2018	2018-09-10	Germany	Goshawk	Avian	
LR743437_ED-I-90_18	Orthoflavivirus nilense	Germany	Europe	2018	2018-08-31	2018-08-31	LR743437	West Nile virus ED-I-90_18	Orthoflavivirus nilense	ED-I-90_18		Germany	2018	2018-08-31	Germany			
LR743442_ED-I-87_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-08	2019-08-08	LR743442	West Nile virus ED-I-87_19	Orthoflavivirus nilense	ED-I-87_19		Germany	2019	2019-08-08	Germany			
LR743443_ED-I-107-18	Orthoflavivirus nilense	Germany	Europe	2018	2018-09-05	2018-09-05	LR743443	West Nile virus ED-I-107-18	Orthoflavivirus nilense	ED-I-107-18		Germany	2018	2018-09-05	Germany	Snowy Owl	Avian	
LR743444_ED-I-83_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-06	2019-08-06	LR743444	West Nile virus ED-I-83_19	Orthoflavivirus nilense	ED-I-83_19		Germany	2019	2019-08-06	Germany			
LR743445_ED-I-172_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-03	2019-09-03	LR743445	West Nile virus ED-I-172_19	Orthoflavivirus nilense	ED-I-172_19		Germany	2019	2019-09-03	Germany			
LR743446_ED-I-109_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-19	2019-08-19	LR743446	West Nile virus ED-I-109_19	Orthoflavivirus nilense	ED-I-109_19		Germany	2019	2019-08-19	Germany			
LR743447_CCT1C7-20	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-24	2019-09-24	LR743447	West Nile virus CCT1C7-20	Orthoflavivirus nilense	CCT1C7-20		Germany	2019	2019-09-24	Germany	Northern House Mosquito	Insect	
