strain	virus	country	region	year	date	Collection.Date	accession	GenomeName	Species	Strain	IsolationSource	IsolationCountry	Collection.Year	CollectionDate	GeographicLocation	HostCommonName	host	
LR743448_ED-I-201_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-09	2019-09-09	LR743448	West Nile virus ED-I-201_19	Orthoflavivirus nilense	ED-I-201_19		Germany	2019	2019-09-09	Germany			
LR743450_ED-I-202_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-09	2019-09-09	LR743450	West Nile virus ED-I-202_19	Orthoflavivirus nilense	ED-I-202_19		Germany	2019	2019-09-09	Germany			
LR743451_ED-I-165_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-04	2019-09-04	LR743451	West Nile virus ED-I-165_19	Orthoflavivirus nilense	ED-I-165_19		Germany	2019	2019-09-04	Germany	Snowy Owl	Avian	
LR743452_ED-I-173_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-04	2019-09-04	LR743452	West Nile virus ED-I-173_19	Orthoflavivirus nilense	ED-I-173_19		Germany	2019	2019-09-04	Germany			
LR743453_ED-I-94_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-14	2019-08-14	LR743453	West Nile virus ED-I-94_19	Orthoflavivirus nilense	ED-I-94_19		Germany	2019	2019-08-14	Germany	Horse	Nonhuman Mammal	
LR743454_ED-I-205_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-09	2019-09-09	LR743454	West Nile virus ED-I-205_19	Orthoflavivirus nilense	ED-I-205_19		Germany	2019	2019-09-09	Germany			
LR743456_ED-I-134_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-08-26	2019-08-26	LR743456	West Nile virus ED-I-134_19	Orthoflavivirus nilense	ED-I-134_19		Germany	2019	2019-08-26	Germany	Sparrow	Avian	
LR743457_ED-I-208_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-05	2019-09-05	LR743457	West Nile virus ED-I-208_19	Orthoflavivirus nilense	ED-I-208_19		Germany	2019	2019-09-05	Germany	Goshawk	Avian	
LR743458_ED-I-164_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-03	2019-09-03	LR743458	West Nile virus ED-I-164_19	Orthoflavivirus nilense	ED-I-164_19		Germany	2019	2019-09-03	Germany	Snowy Owl	Avian	
LR743449_ED-I-163_19	Orthoflavivirus nilense	Germany	Europe	2019	2019-09-04	2019-09-04	LR743449	West Nile virus ED-I-163_19	Orthoflavivirus nilense	ED-I-163_19		Germany	2019	2019-09-04	Germany	Goshawk	Avian	
MH910045_CHVir-205/2018	Orthoflavivirus nilense	Germany	Europe	2018	2018-08-01	2018-08	MH910045	West Nile virus CHVir-205/2018	Orthoflavivirus nilense	CHVir-205/2018	CSF	Germany	2018	2018-08	Germany	Human	Human	
MH924836_ED-I-33/18-UM	Orthoflavivirus nilense	Germany	Europe	2018	2018-08-22	2018-08-22	MH924836	West Nile virus ED-I-33/18-UM	Orthoflavivirus nilense	ED-I-33/18-UM	spleen	Germany	2018	2018-08-22	Germany			
MH986055_1382/2018/Berlin/Ger	Orthoflavivirus nilense	Germany	Europe	2018	2018-01-01	2018	MH986055	West Nile virus 1382/2018/Berlin/Ger	Orthoflavivirus nilense	1382/2018/Berlin/Ger		Germany	2018	2018	Germany	Blackbird	Avian	
MH986056_1617/2018/Rostock/Ger	Orthoflavivirus nilense	Germany	Europe	2018	2018-01-01	2018	MH986056	West Nile virus 1617/2018/Rostock/Ger	Orthoflavivirus nilense	1617/2018/Rostock/Ger		Germany	2018	2018	Germany	Blackbird	Avian	
OQ725906_M892/2022	Orthoflavivirus nilense	Germany	Europe	2022	2022-07-25	2022-07-25	OQ725906	West Nile virus M892/2022	Orthoflavivirus nilense	M892/2022	mosquito homogenate	Germany	2022	2022-07-25	Germany	Northern House Mosquito	Insect	
OQ725908_M769/2022	Orthoflavivirus nilense	Germany	Europe	2022	2022-07-25	2022-07-25	OQ725908	West Nile virus M769/2022	Orthoflavivirus nilense	M769/2022	mosquito homogenate	Germany	2022	2022-07-25	Germany	Northern House Mosquito	Insect	
OQ725909_M2652/2022	Orthoflavivirus nilense	Germany	Europe	2022	2022-08-18	2022-08-18	OQ725909	West Nile virus M2652/2022	Orthoflavivirus nilense	M2652/2022	mosquito homogenate	Germany	2022	2022-08-18	Germany	Northern House Mosquito	Insect	
OQ725907_M644/2022	Orthoflavivirus nilense	Germany	Europe	2022	2022-07-25	2022-07-25	OQ725907	West Nile virus M644/2022	Orthoflavivirus nilense	M644/2022	mosquito homogenate	Germany	2022	2022-07-25	Germany	Northern House Mosquito	Insect	
KJ577738_Greece/2013/C105	Orthoflavivirus nilense	Greece	Europe	2013	2013-01-01	2013	KJ577738	West Nile virus Greece/2013/C105	Orthoflavivirus nilense	Greece/2013/C105	urine	Greece	2013	2013	Greece	Human	Human	
KJ577739_Greece/2013/C147	Orthoflavivirus nilense	Greece	Europe	2013	2013-01-01	2013	KJ577739	West Nile virus Greece/2013/C147	Orthoflavivirus nilense	Greece/2013/C147	urine	Greece	2013	2013	Greece	Human	Human	
MN652878_Thessaloniki_MC26m/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-07-01	2018-07	MN652878	West Nile virus Thessaloniki_MC26m/2018	Orthoflavivirus nilense	Thessaloniki_MC26m/2018		Greece	2018	2018-07	Greece	Mosquito	Insect	
MN652879_Pella_MC36m/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-07-01	2018-07	MN652879	West Nile virus Pella_MC36m/2018	Orthoflavivirus nilense	Pella_MC36m/2018		Greece	2018	2018-07	Greece	Mosquito	Insect	
MN652880_Thessaloniki_MC82m/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-01	2018-08	MN652880	West Nile virus Thessaloniki_MC82m/2018	Orthoflavivirus nilense	Thessaloniki_MC82m/2018		Greece	2018	2018-08	Greece	Mosquito	Insect	
MT341470_Larisa-3m-Greece-2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-07-01	2019-07	MT341470	West Nile virus Larisa-3m-Greece-2019	Orthoflavivirus nilense	Larisa-3m-Greece-2019		Greece	2019	2019-07	Greece	Mosquito	Insect	
MT341471_Karditsa-13m-Greece-2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-07-01	2019-07	MT341471	West Nile virus Karditsa-13m-Greece-2019	Orthoflavivirus nilense	Karditsa-13m-Greece-2019		Greece	2019	2019-07	Greece	Mosquito	Insect	
KY594040_341/2010	Orthoflavivirus nilense	Greece	Europe	2010	2010-01-01	2010	KY594040	West Nile virus 341/2010	Orthoflavivirus nilense	341/2010	blood donor	Greece	2010	2010	Greece	Human	Human	
MN480792_Thessaloniki_354h/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-01	2018-08	MN480792	West Nile virus Thessaloniki_354h/2018	Orthoflavivirus nilense	Thessaloniki_354h/2018	urine	Greece	2018	2018-08	Greece	Human	Human	
MN480793_Pella_435h/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-01	2018-08	MN480793	West Nile virus Pella_435h/2018	Orthoflavivirus nilense	Pella_435h/2018	urine	Greece	2018	2018-08	Greece	Human	Human	
MN480794_Thessaloniki_MC139m/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-09-01	2018-09	MN480794	West Nile virus Thessaloniki_MC139m/2018	Orthoflavivirus nilense	Thessaloniki_MC139m/2018		Greece	2018	2018-09	Greece	Mosquito	Insect	
MN480795_Pella_677h/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-01	2018-08	MN480795	West Nile virus Pella_677h/2018	Orthoflavivirus nilense	Pella_677h/2018	urine	Greece	2018	2018-08	Greece	Human	Human	
MN481589_S33b_GrM_2018/Thessaloniki	Orthoflavivirus nilense	Greece	Europe	2018	2018-07-17	2018-07-17	MN481589	West Nile virus S33b_GrM_2018/Thessaloniki	Orthoflavivirus nilense	S33b_GrM_2018/Thessaloniki	blood	Greece	2018	2018-07-17	Greece	Chicken	Avian	
MN481590_S14c_GrM_2018/Thessaloniki	Orthoflavivirus nilense	Greece	Europe	2018	2018-07-17	2018-07-17	MN481590	West Nile virus S14c_GrM_2018/Thessaloniki	Orthoflavivirus nilense	S14c_GrM_2018/Thessaloniki	blood	Greece	2018	2018-07-17	Greece	Horse	Nonhuman Mammal	
MN481591_S38b_GrTh_2018/Rhodope	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-23	2018-08-23	MN481591	West Nile virus S38b_GrTh_2018/Rhodope	Orthoflavivirus nilense	S38b_GrTh_2018/Rhodope	blood	Greece	2018	2018-08-23	Greece	Dog	Nonhuman Mammal	
MN481592_S33_GrM_2012/Thessaloniki_1	Orthoflavivirus nilense	Greece	Europe	2012	2012-08-02	2012-08-02	MN481592	West Nile virus S33_GrM_2012/Thessaloniki_1	Orthoflavivirus nilense	S33_GrM_2012/Thessaloniki_1	homogenate	Greece	2012	2012-08-02	Greece	Mosquito	Insect	
MN481593_S34_GrM_2012/Thessaloniki_2	Orthoflavivirus nilense	Greece	Europe	2012	2012-08-22	2012-08-22	MN481593	West Nile virus S34_GrM_2012/Thessaloniki_2	Orthoflavivirus nilense	S34_GrM_2012/Thessaloniki_2	homogenate	Greece	2012	2012-08-22	Greece	Mosquito	Insect	
MN481594_S35_GrM_2012/Pella	Orthoflavivirus nilense	Greece	Europe	2012	2012-09-05	2012-09-05	MN481594	West Nile virus S35_GrM_2012/Pella	Orthoflavivirus nilense	S35_GrM_2012/Pella	homogenate	Greece	2012	2012-09-05	Greece	Mosquito	Insect	
MN481595_S36_GrM_2010/Thessaloniki	Orthoflavivirus nilense	Greece	Europe	2010	2010-09-30	2010-09-30	MN481595	West Nile virus S36_GrM_2010/Thessaloniki	Orthoflavivirus nilense	S36_GrM_2010/Thessaloniki	blood	Greece	2010	2010-09-30	Greece	Pigeon	Avian	
MN481596_S37_GrM_2011/Thessaloniki	Orthoflavivirus nilense	Greece	Europe	2011	2011-07-06	2011-07-06	MN481596	West Nile virus S37_GrM_2011/Thessaloniki	Orthoflavivirus nilense	S37_GrM_2011/Thessaloniki	blood	Greece	2011	2011-07-06	Greece	Chicken	Avian	
MN481597_S38_GrM_2012/Imathia	Orthoflavivirus nilense	Greece	Europe	2012	2012-08-27	2012-08-27	MN481597	West Nile virus S38_GrM_2012/Imathia	Orthoflavivirus nilense	S38_GrM_2012/Imathia	blood	Greece	2012	2012-08-27	Greece	Chicken	Avian	
KJ883347_Greece/2013/Serres_1	Orthoflavivirus nilense	Greece	Europe	2013	2013-01-01	2013	KJ883347	West Nile virus Greece/2013/Serres_1	Orthoflavivirus nilense	Greece/2013/Serres_1	urine	Greece	2013	2013	Greece	Human	Human	
KJ883344_Greece/2013/Xanthi_2	Orthoflavivirus nilense	Greece	Europe	2013	2013-01-01	2013	KJ883344	West Nile virus Greece/2013/Xanthi_2	Orthoflavivirus nilense	Greece/2013/Xanthi_2	urine	Greece	2013	2013	Greece	Human	Human	
KJ883342_Greece/2013/Kavala_1	Orthoflavivirus nilense	Greece	Europe	2013	2013-01-01	2013	KJ883342	West Nile virus Greece/2013/Kavala_1	Orthoflavivirus nilense	Greece/2013/Kavala_1	urine	Greece	2013	2013	Greece	Human	Human	
KJ883341_Greece/2013/Xanthi_4	Orthoflavivirus nilense	Greece	Europe	2013	2013-01-01	2013	KJ883341	West Nile virus Greece/2013/Xanthi_4	Orthoflavivirus nilense	Greece/2013/Xanthi_4	urine	Greece	2013	2013	Greece	Human	Human	
OL840871_GR-Edessa/516h/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-01	Aug-2018	OL840871	West Nile virus GR-Edessa/516h/2018	Orthoflavivirus nilense	GR-Edessa/516h/2018		Greece	2018	Aug-2018	Greece	Human	Human	
OL840872_GR-Thessaloniki/563h/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-08-01	Aug-2018	OL840872	West Nile virus GR-Thessaloniki/563h/2018	Orthoflavivirus nilense	GR-Thessaloniki/563h/2018		Greece	2018	Aug-2018	Greece	Human	Human	
OL840873_GR-Larissa/778h/2018	Orthoflavivirus nilense	Greece	Europe	2018	2018-09-01	Sep-2018	OL840873	West Nile virus GR-Larissa/778h/2018	Orthoflavivirus nilense	GR-Larissa/778h/2018		Greece	2018	Sep-2018	Greece	Human	Human	
OL840874_GR-Pieria/198h/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-07-01	Jul-2019	OL840874	West Nile virus GR-Pieria/198h/2019	Orthoflavivirus nilense	GR-Pieria/198h/2019		Greece	2019	Jul-2019	Greece	Human	Human	
OL840875_GR-Xanthi/360h/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-08-01	Aug-2019	OL840875	West Nile virus GR-Xanthi/360h/2019	Orthoflavivirus nilense	GR-Xanthi/360h/2019		Greece	2019	Aug-2019	Greece	Human	Human	
OL840876_GR-Xanthi/424h/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-08-01	Aug-2019	OL840876	West Nile virus GR-Xanthi/424h/2019	Orthoflavivirus nilense	GR-Xanthi/424h/2019		Greece	2019	Aug-2019	Greece	Human	Human	
OL840877_GR-Evros/557h/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-08-01	Aug-2019	OL840877	West Nile virus GR-Evros/557h/2019	Orthoflavivirus nilense	GR-Evros/557h/2019		Greece	2019	Aug-2019	Greece	Human	Human	
OL840879_GR-Rodopi/621h/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-08-01	Aug-2019	OL840879	West Nile virus GR-Rodopi/621h/2019	Orthoflavivirus nilense	GR-Rodopi/621h/2019		Greece	2019	Aug-2019	Greece	Human	Human	
OL840878_GR-Pella/572h/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-08-01	Aug-2019	OL840878	West Nile virus GR-Pella/572h/2019	Orthoflavivirus nilense	GR-Pella/572h/2019		Greece	2019	Aug-2019	Greece	Human	Human	
OL840880_GR-Karditsa/201h/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-07-01	Jul-2020	OL840880	West Nile virus GR-Karditsa/201h/2020	Orthoflavivirus nilense	GR-Karditsa/201h/2020		Greece	2020	Jul-2020	Greece	Human	Human	
OL840881_GR-Serres/BDh/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-08-01	Aug-2020	OL840881	West Nile virus GR-Serres/BDh/2020	Orthoflavivirus nilense	GR-Serres/BDh/2020		Greece	2020	Aug-2020	Greece	Human	Human	
OL840882_GR-Pella/491h/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-09-01	Sep-2020	OL840882	West Nile virus GR-Pella/491h/2020	Orthoflavivirus nilense	GR-Pella/491h/2020		Greece	2020	Sep-2020	Greece	Human	Human	
OL840883_GR-Serres/C240m/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-07-01	Jul-2019	OL840883	West Nile virus GR-Serres/C240m/2019	Orthoflavivirus nilense	GR-Serres/C240m/2019		Greece	2019	Jul-2019	Greece			
OL840884_GR-Kilkis/C205m/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-07-01	Jul-2019	OL840884	West Nile virus GR-Kilkis/C205m/2019	Orthoflavivirus nilense	GR-Kilkis/C205m/2019		Greece	2019	Jul-2019	Greece			
OL840885_GR-Thessaloniki/C222m/2019	Orthoflavivirus nilense	Greece	Europe	2019	2019-08-01	Aug-2019	OL840885	West Nile virus GR-Thessaloniki/C222m/2019	Orthoflavivirus nilense	GR-Thessaloniki/C222m/2019		Greece	2019	Aug-2019	Greece			
OL840886_GR-Serres/M212m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-08-01	Aug-2020	OL840886	West Nile virus GR-Serres/M212m/2020	Orthoflavivirus nilense	GR-Serres/M212m/2020		Greece	2020	Aug-2020	Greece			
OL840887_GR-Serres/M185m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-07-01	Jul-2020	OL840887	West Nile virus GR-Serres/M185m/2020	Orthoflavivirus nilense	GR-Serres/M185m/2020		Greece	2020	Jul-2020	Greece			
OL840888_GR-Larissa/T23m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-07-01	Jul-2020	OL840888	West Nile virus GR-Larissa/T23m/2020	Orthoflavivirus nilense	GR-Larissa/T23m/2020		Greece	2020	Jul-2020	Greece			
OL840889_GR-Kilkis/M207m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-08-01	Aug-2020	OL840889	West Nile virus GR-Kilkis/M207m/2020	Orthoflavivirus nilense	GR-Kilkis/M207m/2020		Greece	2020	Aug-2020	Greece			
OL840890_GR-Serres/M215m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-08-01	Aug-2020	OL840890	West Nile virus GR-Serres/M215m/2020	Orthoflavivirus nilense	GR-Serres/M215m/2020		Greece	2020	Aug-2020	Greece			
OL840891_GR-Serres/M221m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-08-01	Aug-2020	OL840891	West Nile virus GR-Serres/M221m/2020	Orthoflavivirus nilense	GR-Serres/M221m/2020		Greece	2020	Aug-2020	Greece			
OL840892_GR-Serres/M234m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-08-01	Aug-2020	OL840892	West Nile virus GR-Serres/M234m/2020	Orthoflavivirus nilense	GR-Serres/M234m/2020		Greece	2020	Aug-2020	Greece			
OL840893_GR-Serres/S1m/2020	Orthoflavivirus nilense	Greece	Europe	2020	2020-07-01	Jul-2020	OL840893	West Nile virus GR-Serres/S1m/2020	Orthoflavivirus nilense	GR-Serres/S1m/2020		Greece	2020	Jul-2020	Greece			
OL840894_GR-Thessaloniki/E361m/2021	Orthoflavivirus nilense	Greece	Europe	2021	2021-08-01	Aug-2021	OL840894	West Nile virus GR-Thessaloniki/E361m/2021	Orthoflavivirus nilense	GR-Thessaloniki/E361m/2021		Greece	2021	Aug-2021	Greece			
OL840895_GR-Pella/E376m/2021	Orthoflavivirus nilense	Greece	Europe	2021	2021-08-01	Aug-2021	OL840895	West Nile virus GR-Pella/E376m/2021	Orthoflavivirus nilense	GR-Pella/E376m/2021		Greece	2021	Aug-2021	Greece			
OL840896_GR-Serres/E411m/2021	Orthoflavivirus nilense	Greece	Europe	2021	2021-08-01	Aug-2021	OL840896	West Nile virus GR-Serres/E411m/2021	Orthoflavivirus nilense	GR-Serres/E411m/2021		Greece	2021	Aug-2021	Greece			
OL840897_GR-Imathia/E413m/2021	Orthoflavivirus nilense	Greece	Europe	2021	2021-08-01	Aug-2021	OL840897	West Nile virus GR-Imathia/E413m/2021	Orthoflavivirus nilense	GR-Imathia/E413m/2021		Greece	2021	Aug-2021	Greece			
OL840898_GR-Thessaloniki/E418m/2021	Orthoflavivirus nilense	Greece	Europe	2021	2021-08-01	Aug-2021	OL840898	West Nile virus GR-Thessaloniki/E418m/2021	Orthoflavivirus nilense	GR-Thessaloniki/E418m/2021		Greece	2021	Aug-2021	Greece			
OL840899_GR-Thessaloniki/E419m/2021	Orthoflavivirus nilense	Greece	Europe	2021	2021-08-01	Aug-2021	OL840899	West Nile virus GR-Thessaloniki/E419m/2021	Orthoflavivirus nilense	GR-Thessaloniki/E419m/2021		Greece	2021	Aug-2021	Greece			
OQ053515_GR-Pieria/670h/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-31	31-Aug-2022	OQ053515	West Nile virus GR-Pieria/670h/2022	Orthoflavivirus nilense	GR-Pieria/670h/2022		Greece	2022	31-Aug-2022	Greece	Human	Human	
OQ053516_GR-Larissa/792h/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-19	19-Aug-2022	OQ053516	West Nile virus GR-Larissa/792h/2022	Orthoflavivirus nilense	GR-Larissa/792h/2022		Greece	2022	19-Aug-2022	Greece	Human	Human	
OQ053517_GR-Thessaloniki/563m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-16	16-Aug-2022	OQ053517	West Nile virus GR-Thessaloniki/563m/2022	Orthoflavivirus nilense	GR-Thessaloniki/563m/2022		Greece	2022	16-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053518_GR-Larissa/441m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-07-26	26-Jul-2022	OQ053518	West Nile virus GR-Larissa/441m/2022	Orthoflavivirus nilense	GR-Larissa/441m/2022		Greece	2022	26-Jul-2022	Greece	Northern House Mosquito	Insect	
OQ053519_GR-Thessaloniki/312m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-06-29	29-Jun-2022	OQ053519	West Nile virus GR-Thessaloniki/312m/2022	Orthoflavivirus nilense	GR-Thessaloniki/312m/2022		Greece	2022	29-Jun-2022	Greece	Northern House Mosquito	Insect	
OQ053520_GR-Pieria/670m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-31	31-Aug-2022	OQ053520	West Nile virus GR-Pieria/670m/2022	Orthoflavivirus nilense	GR-Pieria/670m/2022		Greece	2022	31-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053521_GR-Thessaloniki/734m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-09-07	07-Sep-2022	OQ053521	West Nile virus GR-Thessaloniki/734m/2022	Orthoflavivirus nilense	GR-Thessaloniki/734m/2022		Greece	2022	07-Sep-2022	Greece	Northern House Mosquito	Insect	
OQ053522_GR-Thessaloniki/581m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-18	18-Aug-2022	OQ053522	West Nile virus GR-Thessaloniki/581m/2022	Orthoflavivirus nilense	GR-Thessaloniki/581m/2022		Greece	2022	18-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053523_GR-Thessaloniki/381m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-07-13	13-Jul-2022	OQ053523	West Nile virus GR-Thessaloniki/381m/2022	Orthoflavivirus nilense	GR-Thessaloniki/381m/2022		Greece	2022	13-Jul-2022	Greece	Northern House Mosquito	Insect	
OQ053524_GR-Imathia/472m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-07-29	29-Jul-2022	OQ053524	West Nile virus GR-Imathia/472m/2022	Orthoflavivirus nilense	GR-Imathia/472m/2022		Greece	2022	29-Jul-2022	Greece	Northern House Mosquito	Insect	
OQ053525_GR-Kilkis/482m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-03	03-Aug-2022	OQ053525	West Nile virus GR-Kilkis/482m/2022	Orthoflavivirus nilense	GR-Kilkis/482m/2022		Greece	2022	03-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053526_GR-Serres/574m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-18	18-Aug-2022	OQ053526	West Nile virus GR-Serres/574m/2022	Orthoflavivirus nilense	GR-Serres/574m/2022		Greece	2022	18-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053527_GR-Chalkidiki/591m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-22	22-Aug-2022	OQ053527	West Nile virus GR-Chalkidiki/591m/2022	Orthoflavivirus nilense	GR-Chalkidiki/591m/2022		Greece	2022	22-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053528_GR-Pieria/668m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-21	31-Aug-2022	OQ053528	West Nile virus GR-Pieria/668m/2022	Orthoflavivirus nilense	GR-Pieria/668m/2022		Greece	2022	31-Aug-2022	Greece	Northern House Mosquito	Insect	
OQ053529_GR-Pieria/646m/2022	Orthoflavivirus nilense	Greece	Europe	2022	2022-08-29	29-Aug-2022	OQ053529	West Nile virus GR-Pieria/646m/2022	Orthoflavivirus nilense	GR-Pieria/646m/2022		Greece	2022	29-Aug-2022	Greece	Northern House Mosquito	Insect	
